description,url,name
"Powerful synthetic opiates are essential tools for capturing and handling wild animals. These drugs provide rapid and relatively long-lasting immobilization that can be completely reversed by specific opiate antagonists. Although some animals initially recover within minutes of receiving an antagonist, others will revert to a partially or completely narcotized state several hours later.1
Factors believed to predispose or contribute to renarcotization include rapid metabolism of antagonists, deposition of opiates in subcutaneous tissues or fascial planes during injection, entero-hepatic shunting of opiates or metabolites, extremely high opiate doses and variable individual or species sensitivities to opiates.2 Renarcotization can potentially compromise survival of affected individuals  and represents a shortcoming of opiate immobilization in wild animals. Using long-acting opiate antagonists should prevent or minimize renarcotization in wild animals immobilized with synthetic opiates.
Unfortunately, the effective durations of most available antagonists appear too short to completely prevent renarcotization in large wild animals immobilized with opiates. Renarcotization has been observed with the use of diprenorphine, nalmefene and ornaloxone HCL to antagonize opiates.3
  Where to buy Naltrexone
Naltrexone is available in the U.S. through pharmaceutical manufacturers and through veterinary custom compounding companies.
Please consult your veterinarian prior to beginning any treatment regimen.
FOR RX ONLY: A valid prescription from a licensed veterinarian is required for dispensing this medication.

1Haigh, J.C. 1982. Mammalian Immobilizing Drugs: Their Pharmacology and Effects. In: Chemical immobilization of North American Wildlife, Wisconsin Humane Society, Milwaukee, Wisconsin, pp.46-63.
2Miller, M. et. al. Efficacy And Safety Of Naltrexone Hydrochloride For Antagonizing Carfentanil Citrate Immobilization In Captive Rocky Mountain Elk (Cervuselaphusnelsoni). Journal of Wildlife Diseases, 32(2), 1996, 234-239.
3Jessup, D.A., et. al. 1985. Immobilization of free-ranging desert bighorn sheep, tule elk, and wild horses using carfentanil and xylazine reversal with naloxone, diprenorphine, and yohimbine. Journal of the American Veterinary Medical Association 187:1253-1254.",https://nexgenvetrx.com/naltrexone-hcl-50-mg-ml-injectable-solution-10ml/,"NALTREXONE HCL 50 MG/ML, INJECTABLE SOLUTION, 10ML"
"Naltrexone hydrochloride is an opioid receptor antagonist that is used in veterinary medicine to block receptors as a reversal agent for opiate agonists such as butorphanol. It is also used for the treatment of recurring, compulsive animal behavior disorders such as tail-chasing and self-mutilation such as acral lick dermatitis.1
Naltrexone is currently under study for possible application in a wide range of other therapeutic areas within veterinary medicine, such as in in treating lymphoma, adenomas, nasal/sinus cancer, inflammatory bowel disease and degenerative myelopathy.
The time from administration to Naltrexone taking full effect is reported to be between 1 to 2 hours, after which clinical signs should improve. The effects of this medication are short-lived, meaning they will stop working within 24 hours, although the benefits may be prolonged if an animal has decreased kidney and/or liver function.2
Naltrexone may cause abdominal cramping, nausea & vomiting, nervousness, insomnia, joint or muscle pain, skin rashes, and itching. Liver toxicity is possible with high doses. Additional behavior modification techniques may be required to reduce undesired behaviors in small animals and exotics.
Pregnant women and people who are allergic to this drug should be very careful not to accidentally take it. Because this drug has a higher risk for causing birth defects, pregnant women should wear disposable gloves when giving doses or handling the drug and avoid inhaling any dust from split or crushed tablets. Skin or eyes exposed to powder or liquids containing the drug should immediately be washed or rinsed off thoroughly.2
Naltrexone 25 mg/ml by NexGen provides excellent performance as an opioid receptor antagonist, and in diagnosing and treating behavioral conditions in small and exotic animals.
  FOR RX ONLY: A valid prescription from a licensed veterinarian is required for dispensing this medication.

1ldnscience.org.
2Plumb's Veterinary Drugs.",https://nexgenvetrx.com/naltrexone-hcl-25-mg-ml-injectable-solution-10ml/,"NALTREXONE HCL 25 MG/ML, INJECTABLE SOLUTION, 10ML"
"Furosemide Injection (100 mL): Effective Diuretic Solution for Pets
Furosemide Injection (100 mL) is a highly effective diuretic solution, designed to treat fluid retention and swelling in pets. Ideal for managing conditions like congestive heart failure, kidney diseases, and pulmonary edema, this medication is a must-have for pet owners facing these health challenges.
Key Benefits:
Rapid Relief: Quickly reduces excessive fluid accumulation, easing symptoms of heart failure and other related health issues.
Versatile Use: Effective for various conditions including heart diseases, lung fluid, kidney disorders, and high blood pressure.
Enhanced Comfort: Aids in reducing discomfort caused by fluid in the abdomen and certain types of tissue swelling.
Easy Administration: Formulated for simple and hassle-free usage.
How It Works:
Furosemide functions as a potent diuretic, blocking salt and fluid absorption in kidney tubules, thereby increasing urine output. This mechanism helps effectively remove excess fluid from the body.
Indications:
Prescribed for dogs, cats, horses, and cattle, Furosemide is essential for treating several conditions including:
Congestive heart failure
Pulmonary edema (fluid in the lungs)
Certain kidney diseases
High blood pressure and high potassium levels
Usage Instructions:
Follow your veterinarian's dosage instructions closely. The dosage may vary based on the disease, its severity, and the response to treatment. Furosemide can be administered with or without food. In case of missed doses, administer as soon as possible without doubling the dosage.
  FOR RX ONLY: A valid prescription from a licensed veterinarian is required for dispensing this medication.",https://nexgenvetrx.com/furosemide-injection-100ml/,"FUROSEMIDE INJECTION, 100ML"
"Salix (Furosemide) Injection 5%, 50mL: Advanced Diuretic Treatment for Pets
High-Potency Relief from Edema for Dogs, Cats, and Horses
Experience the power of Salix (Furosemide) Injection 5%, a 50mL high-potency diuretic-saluretic specially formulated for prompt and effective relief from edema. This potent solution is designed to treat edema associated with cardiac insufficiency and acute non-inflammatory tissue edema, making it an essential treatment for pets suffering from these conditions.
Indications
Salix is your go-to solution for managing edema, including conditions like congestive heart failure, liver disease, kidney disease, and high blood pressure in dogs, cats, and horses. Its broad therapeutic range ensures it effectively handles various health concerns, providing rapid removal of excess fluid and improving your pet's quality of life.
Administration and Dosage
Administer Salix either intravenously or intramuscularly, depending on your pet's needs. The flexible dosage of 1 to 2 mg/lb for dogs and cats, and 250 mg to 500 mg for horses, allows for tailored treatment plans. A prompt diuretic response typically follows the initial administration, helping manage symptoms efficiently.
Safety and Precautions
While Salix is a highly effective diuretic, it is crucial to use it judiciously to avoid dehydration and electrolyte imbalance. Watch for early signs of these conditions and adjust the dosage accordingly. Remember, it's essential to consult with a veterinarian before starting any new medication for your pet.
Ingredients and Composition
Each mL of Salix contains 50 mg of Furosemide as a diethanolamine salt. This formulation is preserved with myristyl-gamma-picolinium chloride, stabilized with EDTA sodium and sodium sulfite, and balanced with sodium chloride in distilled water. This composition ensures the product's stability and efficacy.
Why Choose Salix?
Salix stands out due to its high therapeutic index and predictable performance. Whether it's a dog, cat, or horse, Salix provides the necessary relief from uncomfortable edema, ensuring your pet's well-being and comfort.
  FOR RX ONLY: A valid prescription from a licensed veterinarian is required for dispensing this medication.",https://nexgenvetrx.com/salix-furosemide-injection-5-50ml/,"SALIX (FUROSEMIDE) INJECTION 5%, 50ML"
"Noromectin (Ivermectin) 1% Sterile Solution Injection, 250mL: Comprehensive Protection for Cattle and Swine
Overview
Noromectin (Ivermectin) 1% Sterile Solution Injection, 250mL is a highly effective parasiticide designed for the treatment and control of internal and external parasites in livestock. Suitable for cattle and swine, it targets a range of parasites, including gastrointestinal roundworms, lungworms, grubs, sucking lice, and mange mites. This product is part of the macrocyclic lactone class of endectocides, known for its unique mode of action and effectiveness in managing parasite loads.
Key Features
1% Sterile Solution: Potent formulation for robust parasite control.
Broad-Spectrum Efficacy: Effective against various internal and external parasites in beef cattle, dairy cattle of non-breeding age, and swine.
Various Pack Sizes: Available in 50 mL, 250 mL, 500 mL, and 1000 mL sizes.
Protective Packaging: Plastic hanger bottles enclosed in a display carton to protect from dust and sunlight.
Benefits
Efficient Parasite Control: Effectively treats and controls harmful species of parasites.
Time-Saving and Convenient: Ready-to-use formulation simplifies the process of administration.
Safety Margin: High margin of safety due to the active ingredient, ivermectin.
Versatile Usage: Suitable for a range of livestock including beef and dairy cattle, and swine.
How it Works
Noromectin Ivermectin Injection operates by interfering with the nervous system of parasites, leading to paralysis and death. Its unique mode of action as part of the macrocyclic lactone class makes it a reliable choice for managing parasite loads effectively in livestock.
Dosage and Administration
Dosage Information
Administer Noromectin Ivermectin Injection subcutaneously. The specific dosage and administration guidelines depend on the type and weight of the animal being treated. It is essential to follow the label directions and consult with a veterinarian for precise dosage and administration instructions.
Safety
Ivermectin, the active ingredient in Noromectin, is known for its high margin of safety. The product is designed to be safe for use in cattle and swine when used as directed.
Precautions
Consult a veterinarian for the correct diagnosis, treatment, and control of parasitism. Observe withdrawal times and label directions. Not to be used in female dairy cattle of breeding age or in calves intended for veal.
Avoid use in unapproved species, as severe reactions, including fatalities in dogs, may result. Always use as directed and store in a safe place to prevent accidental ingestion or misuse.
Caution
Federal law restricts this drug to use by or on the order of a licensed veterinarian.
  FOR RX ONLY: A valid prescription from a licensed veterinarian is required for dispensing this medication.",https://nexgenvetrx.com/noromectin-ivermectin-1-sterile-solution-injection-250ml/,"NOROMECTIN (IVERMECTIN) 1% STERILE SOLUTION INJECTION, 250ML"
"Vetrimec Plus (Ivermectin-Clorsulon) Injection, 1000mL: Comprehensive Care for Cattle
Optimal Parasite Control with Vetrimec Plus Injection
Vetrimec Plus, featuring a powerful blend of 1% Ivermectin and 10% Clorsulon, is a top choice for controlling internal and external parasites in cattle. This 1000mL injectable solution efficiently targets adult liver flukes and other parasites, ensuring robust health in your livestock.
Key Benefits of Using Vetrimec Plus for Cattle
Preservative-Free Formulation
Vetrimec Plus stands out for being preservative-free, minimizing the risk of adverse reactions and ensuring a safer treatment option for your cattle.
Easy and Accurate Administration
Administer Vetrimec Plus subcutaneously at a dose of 1 mL per 110 lb of body weight. This precise dosing ensures effective parasite control tailored to your cattle's needs.
Safety and Storage Guidelines
Designed specifically for cattle, Vetrimec Plus should be stored at temperatures between 20°C to 25°C (68°F to 77°F) and used within 28 days of the first puncture. Its safe formulation has no adverse effects on breeding performance in cattle.
Effective Parasite Management with Vetrimec Plus
Incorporate Vetrimec Plus into your cattle care routine for efficient parasite management. The combination of Ivermectin and Clorsulon in a single injection simplifies your livestock's healthcare regimen, making it an ideal solution for farmers and veterinarians alike.
  FOR RX ONLY: A valid prescription from a licensed veterinarian is required for dispensing this medication.",https://nexgenvetrx.com/vetrimec-plus-ivermectin-clorsulon-injection-1000ml/,"VETRIMEC PLUS (IVERMECTIN-CLORSULON) INJECTION, 1000ML"
"Lidocaine 2% Injection Local Anesthetic, 100mL for Veterinary Use
Overview
Introducing the Lidocaine 2% Injection in a 100mL format, expertly designed for smaller-scale or less frequent veterinary needs. This local anesthetic is effective for dogs, cats, cattle, and horses, providing a versatile solution for various medical procedures. It offers the same rapid and efficient pain relief as its larger counterpart, tailored for convenience in smaller veterinary practices or individual pet care.
Key Benefits for Pets and Livestock
Quick-Acting Formula: Ensures immediate pain relief for minor veterinary procedures.
Broad-Spectrum Use: Formulated for dogs, cats, cattle, and horses, making it a versatile option for diverse veterinary needs.
Compact Size: The 100mL volume is ideal for situations requiring less frequent use.
Assured Quality: Maintains the high safety and efficacy standards essential for animal health care.
Product Information
Composition
Each mL of the 100mL Lidocaine 2% Injection contains:
Lidocaine Hydrochloride: 2.0%
Propylene Glycol: 5.2%
Sodium Chloride: 0.5%
Sodium Lactate: 0.5%
Preservatives: Methylparaben (0.15%), Sodium Metabisulfite (0.10%), Propylparaben (0.03%), Disodium Edetate (0.001%)
Indications
Ideal for:
Local or regional anesthesia in various animal species
Nerve blocks for surgical and diagnostic procedures
Pain management during minor surgeries in pets and livestock
Contraindications and Safety Information
Not suitable for animals allergic to lidocaine or other ingredients.
Exercise caution in animals with existing heart conditions.
Directions for Use
Epidural:
Cattle and Horses: 5 to 15 mL.
Dogs and Cats: 1 mL per 10 pounds of body weight.
Nerve Block:
Cattle and Horses: 5 to 20 mL.
Infiltration:
Dilute to 0.5% concentration for delicate procedures.
Storage and Handling
Store in a controlled environment between 15°C and 30°C (59°F-86°F).
Caution
This drug is restricted to use by or on the order of a licensed veterinarian.
  FOR RX ONLY: A valid prescription from a licensed veterinarian is required for dispensing this medication.",https://nexgenvetrx.com/lidocaine-2-injection-local-anesthetic-100ml/,"LIDOCAINE 2% INJECTION LOCAL ANESTHETIC, 100ML"
"Lidocaine 2% Injection Local Anesthetic, 250mL for Pets and Livestock
Overview
Lidocaine 2% Injection is a potent local anesthetic, specifically formulated for producing epidural, nerve conduction, and infiltration anesthesia. It is designed for use in dogs, cats, cattle, and horses, making it an essential item in any veterinary practice. This 250mL solution offers quick and effective pain relief, ensuring the comfort and safety of animals during various medical procedures.
Key Features and Benefits for Animal Health
Quick-Acting Relief: Ensures rapid anesthesia for comfort during procedures.
Suitable for Multiple Species: Effective for use in dogs, cats, cattle, and horses.
Bulk Packaging: 250mL size ideal for frequent use in veterinary settings.
Stringent Quality Standards: Made with the highest level of purity and safety for animal care.
Product Details
Composition
Each mL contains:
Lidocaine Hydrochloride: 2.0%
Propylene Glycol: 5.2%
Sodium Chloride: 0.5%
Sodium Lactate: 0.5%
Preservatives: Methylparaben (0.15%), Sodium Metabisulfite (0.10%), Propylparaben (0.03%), Disodium Edetate (0.001%)
Indications
Recommended for:
Local or regional anesthesia in various animal species
Nerve blocks for surgical and diagnostic procedures
Pain management during minor surgeries in pets and livestock
Contraindications and Cautions
Contraindicated in animals with known hypersensitivity to lidocaine.
Caution is advised in animals with pre-existing cardiac conditions.
Usage and Administration
Dosage and Administration
Epidural:
Cattle and Horses: 5 to 15 mL.
Dogs and Cats: 1 mL per 10 pounds of body weight.
Nerve Block:
Cattle and Horses: 5 to 20 mL.
Infiltration:
Dilute to a 0.5% concentration (1 mL of 2% solution diluted with 3 mL of sterile water = 4 mL of a 0.5% solution).
Caution
Federal law restricts this drug to use by or on the order of a licensed veterinarian.
Precautions
Lidocaine is usually well tolerated. However, untoward effects may occur due to hypersensitivity, faulty technique, overdosage, and inadvertent intravascular or subarachnoid injection. In case of respiratory arrest, immediate resuscitation with oxygen is indicated.
Storage
Store at controlled room temperature between 15°C and 30°C (59°F-86°F).
  FOR RX ONLY: A valid prescription from a licensed veterinarian is required for dispensing this medication.",https://nexgenvetrx.com/lidocaine-2-injection-local-anesthetic-250ml/,"LIDOCAINE 2% INJECTION LOCAL ANESTHETIC, 250ML"
"Guanabenz
Guanabenz (also known as extraneal or adept) belongs to the class of organic compounds known as dichlorobenzenes. Dichlorobenzenes are compounds containing a benzene atom with two chlorine atoms attached to it.1 Guanabenz is an α-2 selective adrenergic agonist that is commonly used as an antihypertensive agent. Guanabenz's antihypertensive effect is thought to be due to central alpha-adrenergic stimulation, which results in a decreased sympathetic outflow to the heart, kidneys, and peripheral vasculature in addition to a decreased systolic and diastolic blood pressure and a slight slowing of pulse rate. Chronic administration of guanabenz also causes a decrease in peripheral vascular resistance.2
Guanabenz is increasingly being used in racing and other performance horses as a calming agent, and to take the edge off excitable and overly anxious horses to improve their focus and manageability. Guanabenz is a superior solution to the harsher psychotropic drugs which some horse owners have used to help horses through stressful situations.
The Origins of Nervousness in Horses
Horses were born to run, and the specialized breeding and training in equestrian circles, as well as the demands on horses, have given rise to animals that can be skittish to varying degrees. Survival instincts drive horses to move faster in response to fear and anxiety, and even mundane activities can trigger their instinctive flight response. Even those who frequent riding stables will be familiar with the habit of managers identifying less experienced riders in a party so that these can be put on less skittish horses.
It is the job of trainers and handlers to take performance horses and train them to perform to the best of their abilities without pushing them beyond their mental and physical limits. An unfortunate byproduct of these phenomena is that many performance horses have been subjected to the administration of behavior-altering drugs that allow owners and handlers to keep their horses “at the brink,” so to speak, without sending them over the edge.
Most of the behavior-altering drugs used in the horse industry today have come from human medicine. Acepromazine, chlorpromazine, fluphenazine and reserpine are antipsychotic drugs used to treat mental illnesses such as schizophrenia and bipolar disorder. Guanabenz is an antihypertensive used to control blood pressure.
These calming agents are generally used to take the edge off excitable and overly anxious horses to improve their focus and manageability, thus their performance. While some barrel racers use psychotropic drugs temporarily to help horses through stressful situations—like experiencing fireworks and Ferris wheels at rodeos and parades, for example. There are also horses that never perform or compete without some sort of chemical assistance.
Behavioral Management
There are many methods of dealing with a nervous horse. Though it may not be possible to definitively identify what is causing a horse's skittishness, it can be helpful to isolate any such stimuli when possible, since addressing these directly could go a long way toward resolving the issue. Very often however, the basis for a horse's nervousness may be a function of temperament, or some stimulus that cannot be identified.
The first option is usually behavioral management, or training. Like many domesticated animals, horses forge relationships with their handlers, and tend to be more comfortable with people they know. These days, there is a great deal of information available (articles, blogs, message boards) wherein seasoned horse owners, managers and veterinarians offer their experience and expertise in the area of managing the nervous horse through behavior modification. This usually involves various exercises and drills that are calculated to incrementally diminish nervousness in the horse.
When behavior modification doesn’t do the trick, there are calming supplements that appeal to many horse owners. There are currently numerous branded calming supplements available for horses on the market, all reported to help the horse be quieter, less reactive, and more able to focus. These are available in powder, pellets, granular, paste, liquid, and sometimes as wafers. Most contain an assortment of vitamins, minerals and even herbal remedies. Depending on the form, they can be given to horse directly or during mealtime.
Drugs and Behavior Management in Horses: Risks and Restrictions
Some veterinarians have hypothesized that the use of tranquilizers and sedatives (such as acepromazine) that facilitate muscle relaxation may also make horses more prone to soft tissues injures. The idea behind this is that ligaments take up some of the weight-bearing duties for overly relaxed muscles, making them more susceptible to injury.
While the use of drugs like acepromazine to the take the edge off of performance horses is a common practice in some areas, no studies of the long-term effects of its use in this manner have been carried out.
Currently, all the drugs previously mentioned are banned drugs, meaning they cannot be found in any level in a horse’s system under International Federation for Equestrian Sports (FEI) rules, acepromazine being the only exception. FEI lists acepromazine as a control substance, meaning that it must be used under strict guidelines.
The American Quarter Horse Association (AQHA) and the United States Equestrian Federation (USEF) both have judicious-use guidelines. The AQHA has guidelines for the use of medications such as phenylbutazone, diclofenac, flunixin, ketoprofin, furosemide, isoxsuprine, dexamethasone and other drugs. As regards drugs like tranquilizers, sedatives and performance enhancers, these are strictly forbidden as they “depress the cardiovascular, respiratory or central nervous system.”3 The National Reined Cowhorse Association, National Reining Horse Association and National Cutting Horse Association all have similar policies in place.
A Superior Solution
Compared to drugs like detomidine, guanabenz acetate is a long-acting and rapidly reversible sedative. While detomidine may last less than an hour, the effects of guanabenz at sedative levels can last for several hours. The efficacy of guanabenz as a calming agent in performance horses was studied by researchers at the University of Florida. In a paper published in the August 2006, researchers concluded that guanabenz did induce signs of adrenergic suppression.2
Guanabenz first drew the interest of racetrack veterinarians who were looking for alternatives to the diuretic furosemide. Guanabenz produces a rapid acting and long lasting sedative and analgesic effect in a subject animal that is selectively reversible. The use of guanabenz in the horse provides for a safe, effective, long lasting and rapidly reversible sedative and analgesic which can be used on the standing animal.4
Guanabenz is increasingly being used in racing and other performance horses as a calming agent, and to take the edge off excitable and overly anxious horses to improve their focus and manageability. Guanabenz is reported to be a superior solution to the harsher psychotropic drugs which some horse owners have used to help horses through stressful situations and to reduce nervous behavior.2,4
Pharmacology
The antihypertensive action of guanabenz appears to be mediated via stimulation of central alpha adrenergic receptors, resulting in a decrease of sympathetic outflow from the brain at the bulbar level to the peripheral circulatory system.4
The acute antihypertensive effect of guanabenz occurs without major changes in peripheral resistance, but its chronic effect appears to be a decrease in peripheral resistance. A decrease in blood pressure is seen in both the supine and standing positions without alterations of normal postural mechanisms, so that postural hypotension has not been observed. In humans, guanabenz decreases pulse rate by about 5 beats per minute. Cardiac output and left ventricular ejection fraction are unchanged during long-term therapy.5
Pharmacokinetics
In human studies, it was shown that approximately 75% of an orally-administered dose of Guanabenz acetate is absorbed and metabolized with less than 1% of unchanged drug recovered from the urine. Peak plasma concentrations of unchanged drug occur between two and five hours after a single oral dose. The average half-life for Guanabenz is about 6 hours. The site or sites of metabolism of Guanabenz have not been determined.5
Drug Interactions
Guanabenz has not been demonstrated to cause any drug interactions when administered with other drugs, such as digitalis, diuretics, analgesics, anxiolytics, and antiinflammatory or antiinfective agents, in clinical trials. However, the potential for increased sedation when Guanabenz is administered concomitantly with CNS-depressant drugs should be noted.5
Adverse Effects
In humans, the incidence of adverse effects has been ascertained from controlled clinical studies conducted in the U.S. and is based on data from 859 patients who received Guanabenz for up to 3 years. There is some evidence that the side effects are dose-related.
The table shows the incidence of adverse effects occurring in at least 5% of patients in a study comparing Guanabenz acetate to placebo, at a starting dose of 8 mg b.i.d.
Adverse Effect
Placebo (%) n=102
Guanabenz acetate (%) n=109
Dry mouth
7
28
Drowsiness or sedation
12
39
Dizziness
7
17
Weakness
7
10
Headache
6
5
Other adverse effects were reported during clinical trials with Guanabenz but are not clearly distinguishable from placebo effects and occurred with a frequency of 3% or less:
Cardiovascular-chest pain, edema, arrhythmias, palpitations.
Gastrointestinal-nausea, epigastric pain, diarrhea, vomiting, constipation, abdominal discomfort.
Central nervous system-anxiety, ataxia, depression, sleep disturbances.
ENT disorders-nasal congestion.
Eye disorders-blurring of vision.
Musculoskeletal-aches in extremities, muscle aches.
Respiratory-dyspnea.
Dermatologic-rash, pruritus.
Urogenital-urinary frequency, disturbances of sexual function (decreased libido, impotence).
Other-gynecomastia, taste disorders.
In very rare instances atrioventricular dysfunction, up to and including complete AV block, has been caused by Guanabenz.5
Where to buy Guanabenz
Guanabenz is available in the U.S. through several pharmaceutical manufacturers and through veterinary custom compounding companies.
FOR RX ONLY: A valid prescription from a licensed veterinarian is required for dispensing this medication.
1nih.gov.
2O'Connor, D. Calming the Axious Horse. Equus Magazine, April, 2015.
3farnam.com.
4Tobin, T. Long Acting, Reversible Veterinary Sedative and Analgesic and Method of Use. (2006).Veterinary Science FacultyPatents. 14.
5drugs.com.",https://nexgenvetrx.com/guanabenz-acetate-20-mg-ml-injectable-solution-30ml/,"GUANABENZ ACETATE 20 MG/ML, INJECTABLE SOLUTION, 30ML"
FOR RX ONLY: A valid prescription from a licensed veterinarian is required for dispensing this medication.,https://nexgenvetrx.com/guanabenz-acetate-8-mg-ml-injectable-solution-30ml/,"GUANABENZ ACETATE 8 MG/ML, INJECTABLE SOLUTION, 30ML"
